DNI,Nombre,Apellido,FechaNacimiento,Telefono
32045982,Ana,Gómez,1985-05-15,1155551234
32458910,Luis,Torres,1986-11-20,1155555678
31247856,Juan,Pérez,1984-03-01,1155559012
31890432,Carla,Acosta,1988-07-25,1155553456
32500890,María,López,1987-09-10,1155557890
31111222,Pedro,García,1983-01-05,1155552468
30000111,Sofía,Ruiz,1990-12-03,1155551357
33112233,Marcos,Díaz,1992-04-18,1155559753
34223344,Valeria,Castro,1995-06-22,1155558642
35334455,Javier,Luna,1998-08-08,1155557531
36445566,Andrea,Flores,2000-10-14,1155556420
37556677,Ricardo,Nieves,1975-02-28,1155555319
38667788,Paula,Sosa,1978-04-12,1155554208
39778899,Federico,Gil,1981-06-16,1155553097
40889900,Elena,Vidal,1989-08-30,1155551986
41990011,Guillermo,Soto,1993-10-05,1155550875
42001122,Natalia,Blanco,1996-12-09,1155559764
43112233,Daniel,Ríos,1999-02-13,1155558653
44223344,Marina,Velez,2001-04-19,1155557542
45334455,Oscar,Ramos,1970-06-24,1155556431
46445566,Laura,Morales,1973-08-29,1155555320
47556677,Diego,Herrera,1976-10-04,1155554219
48667788,Romina,Aguirre,1980-12-08,1155553108
49778899,Ezequiel,Núñez,1982-02-12,1155552097
50889900,Julieta,Paz,1984-04-16,1155551986
51990011,Nicolás,Vega,1986-06-20,1155550875
52001122,Josefina,Costa,1988-08-24,1155559764
53112233,Matías,Mendoza,1990-10-28,1155558653
54223344,Sabrina,Romero,1992-12-02,1155557542
55334455,Santiago,Bravo,1994-01-06,1155556431
